Date;Widely available;Newly available;Implemented somewhere
2021-09-25;335;150;284
2021-10-05;335;151;284
2021-10-19;335;151;286
2021-10-25;335;154;283
2021-11-02;335;156;282
2021-11-15;335;156;285
2021-11-19;335;157;284
2021-12-07;335;158;283
2021-12-13;335;160;281
2022-01-04;335;160;286
2022-01-06;335;161;285
2022-01-11;335;161;287
2022-02-01;335;161;289
2022-02-03;335;162;288
2022-02-08;335;162;292
2022-03-01;335;162;297
2022-03-03;335;163;296
2022-03-08;335;163;297
2022-03-14;335;182;289
2022-03-19;340;177;289
2022-03-29;340;177;291
2022-04-26;340;177;292
2022-04-28;340;178;291
2022-05-03;340;180;290
2022-05-24;340;180;294
2022-05-31;340;181;294
2022-06-21;340;181;297
2022-06-28;340;181;300
2022-07-15;415;106;300
2022-07-20;415;106;301
2022-07-26;415;107;300
2022-08-02;415;107;305
2022-08-04;416;106;305
2022-08-05;416;107;304
2022-08-07;417;106;304
2022-08-23;417;107;303
2022-09-01;417;107;309
2022-09-02;417;108;308
2022-09-12;417;116;303
2022-09-24;425;108;303
2022-10-03;425;109;302
2022-10-13;426;108;302
2022-10-25;426;108;303
2022-10-27;426;109;302
2022-11-15;426;110;301
2022-11-29;426;110;303
2022-12-05;426;111;302
2022-12-13;426;112;303
2023-01-10;426;112;306
2023-01-12;426;113;305
2023-01-17;426;113;306
2023-01-27;427;112;306
2023-01-28;436;103;306
2023-02-07;436;103;308
2023-02-09;436;104;307
2023-02-14;436;106;306
2023-02-27;437;105;306
2023-03-07;437;105;317
2023-03-13;437;107;315
2023-03-14;437;108;315
2023-03-16;450;95;315
2023-03-27;450;116;298
2023-04-04;450;116;299
2023-04-11;450;118;299
2023-04-20;451;117;299
2023-05-02;451;117;300
2023-05-09;451;124;294
2023-05-17;452;123;294
2023-05-19;453;122;294
2023-05-30;453;122;302
2023-06-06;453;125;299
2023-07-04;453;127;298
2023-07-18;453;127;300
2023-07-21;457;124;299
2023-07-26;458;123;299
2023-08-01;458;124;298
2023-08-15;458;124;301
2023-08-29;458;124;302
2023-09-12;458;124;308
2023-09-15;458;125;307
2023-09-18;458;136;303
2023-09-26;458;136;304
2023-10-10;458;136;307
2023-10-13;458;137;306
2023-10-24;458;140;303
2023-10-26;471;127;303
2023-10-31;471;127;308
2023-11-02;471;129;306
2023-11-21;471;132;307
2023-12-05;471;133;310
2023-12-07;471;138;305
2023-12-11;471;145;300
2023-12-19;471;147;299
2024-01-23;471;147;304
2024-01-25;471;148;303
2024-01-26;471;149;302
2024-02-10;473;147;302
2024-02-20;473;148;304
2024-03-05;473;153;303
2024-03-07;475;151;303
2024-03-19;475;155;305
2024-03-20;485;145;305
2024-04-05;486;144;305
2024-04-16;486;147;306
2024-04-18;486;148;305
2024-04-25;489;145;305
2024-05-02;491;143;305
2024-05-13;491;145;303
2024-05-14;491;146;311
2024-05-17;491;148;309
2024-05-19;492;147;309
2024-06-07;493;146;309
2024-06-11;493;150;308
2024-06-13;495;148;308
2024-07-06;496;147;308
2024-07-09;496;151;304
2024-07-23;496;151;305
2024-07-25;496;152;304
2024-08-03;497;151;304
2024-08-06;497;152;304
2024-08-20;497;152;305
2024-09-03;498;152;304
2024-09-14;517;133;304
2024-09-16;517;140;298
2024-09-17;517;140;303
2024-10-01;517;141;303
2024-10-15;517;141;306
2024-10-17;517;143;304
2024-10-28;518;142;304
2024-10-29;518;145;301
2024-11-03;520;143;301
2024-11-12;520;143;304
2024-11-26;520;143;305
2024-11-30;521;142;305
2024-12-11;521;150;302
2025-01-07;521;151;302
2025-01-26;522;150;302
2025-01-27;522;151;301
2025-02-04;522;151;303
2025-02-05;523;150;303
